TIME(ns),FREQ(Hz)
113875000,        160
114125000,        160
114375000,        160
114625000,        160
114875000,        160
115125000,        160
115375000,        160
115625000,        160
115875000,        160
116125000,        160
116375000,        160
116625000,        160
116875000,        160
117125000,        160
117375000,        160
117625000,        160
117875000,        160
118125000,        160
118375000,        160
118625000,        160
118875000,        160
119125000,        160
119375000,        160
119625000,        160
119875000,        160
120125000,        160
120375000,        160
120625000,        160
120875000,        160
121125000,        160
121375000,        160
121625000,        160
121875000,        160
122125000,        160
122375000,        160
122625000,        160
122875000,        160
123125000,        160
123375000,        160
123625000,        160
123875000,        160
124125000,        160
124375000,        160
124625000,        160
124875000,        160
125125000,        160
125375000,        160
125625000,        160
125875000,        160
126125000,        160
126375000,        160
126625000,        160
126875000,        160
127125000,        160
127375000,        160
127625000,        160
127875000,        160
128125000,        160
128375000,        160
128625000,        160
128875000,        160
129125000,        160
129375000,        160
129625000,        160
129875000,        160
130125000,        160
130375000,        160
130625000,        160
130875000,        160
131125000,        160
131375000,        160
131625000,        160
131875000,        160
132125000,        160
132375000,        160
132625000,        160
132875000,        160
133125000,        160
133375000,        160
133625000,        160
133875000,        160
134125000,        160
134375000,        160
134625000,        160
134875000,        160
135125000,        160
135375000,        160
135625000,        160
135875000,        160
136125000,        160
136375000,        160
136625000,        160
136875000,        160
137125000,        160
137375000,        160
137625000,        160
137875000,        160
138125000,        160
138375000,        160
138625000,        160
138875000,        160
139125000,        160
139375000,        160
139625000,        160
139875000,        160
140125000,        160
140375000,        160
140625000,        160
140875000,        160
141125000,        160
141375000,        160
141625000,        160
141875000,        160
142125000,        160
142375000,        160
142625000,        160
142875000,        160
143125000,        160
143375000,        160
143625000,        160
143875000,        160
144125000,        160
144375000,        160
144625000,        160
144875000,        160
145125000,        160
145375000,        160
145625000,        160
145875000,        160
146125000,        160
146375000,        160
146625000,        160
146875000,        160
147125000,        160
147375000,        160
147625000,        160
147875000,        160
148125000,        160
148375000,        160
148625000,        160
148875000,        160
149125000,        160
149375000,        160
149625000,        160
149875000,        160
150125000,        160
150375000,        160
150625000,        160
150875000,        160
151125000,        160
151375000,        160
151625000,        160
151875000,        160
152125000,        160
152375000,        160
152625000,        160
152875000,        160
153125000,        160
153375000,        160
153625000,        160
153875000,        160
154125000,        160
154375000,        160
154625000,        160
154875000,        160
155125000,        160
155375000,        160
155625000,        160
155875000,        160
156125000,        160
156375000,        160
156625000,        160
156875000,        160
157125000,        160
157375000,        160
157625000,        160
157875000,        160
158125000,        160
158375000,        160
158625000,        160
158875000,        160
159125000,        160
159375000,        160
159625000,        160
159875000,        160
160125000,        160
160375000,        160
160625000,        160
160875000,        160
161125000,        160
161375000,        160
161625000,        160
161875000,        160
162125000,        160
162375000,        160
162625000,        160
162875000,        160
163125000,        160
163375000,        160
163625000,        160
163875000,        160
164125000,        160
164375000,        160
164625000,        160
164875000,        160
165125000,        160
165375000,        160
165625000,        160
165875000,        160
